title,author,url
" 어느 날, 마음이 불행하다고 말했다",손미나,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791190908603&orderClick=LAV&Kc=
 죽고 싶지만 떡볶이는 먹고 싶어,백세희,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791196394509&orderClick=LAV&Kc=
 달러구트 꿈 백화점,이미예,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791165341909&orderClick=LAV&Kc=
 살고 싶다는 농담,허지웅,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788901244600&orderClick=LAV&Kc=
 하고 싶은 대로 살아도 괜찮아(교보문고 단독 양장 에디션),윤정은,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791186639702&orderClick=LAV&Kc=
 모든 사람에게 좋은 사람일 필요는 없어,김유은,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791196764616&orderClick=LAV&Kc=
 나는 나로 살기로 했다,김수현,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791187119845&orderClick=LAV&Kc=
있는 그대로 참 소중한 너라서,김지훈,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791196484224&orderClick=LAV&Kc=
 이유가 많으니 그냥이라고 할 수밖에,을냥이,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791197023002&orderClick=LAV&Kc=
" 곰돌이 푸, 행복한 일은 매일 있어",곰돌이 푸 (원작),http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788925563350&orderClick=LAV&Kc=
 희한한 위로,강세형,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791190382229&orderClick=LAV&Kc=
 나는 너를 펭랑해: 펭수 엽서책,EBS,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788954754088&orderClick=LAV&Kc=
 이별이 오늘 만나자고 한다,이병률,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788954674201&orderClick=LAV&Kc=
 애쓰지 않고 편안하게,김수현,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791130629636&orderClick=LAV&Kc=
 언어의 온도(3주년 150만부 기념 에디션),이기주,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791195522125&orderClick=LAV&Kc=
 나는 개다,백희나,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791158361365&orderClick=LAV&Kc=
 이상한 엄마,백희나,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791158360214&orderClick=LAV&Kc=
 너에게만 좋은 사람이 되고 싶어(리커버 한정판),유귀선,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791196814304&orderClick=LAV&Kc=
나를 숨 쉬게 하는 보통의 언어들,김이나,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791190786355&orderClick=LAV&Kc=
 내가 죽으면 장례식에 누가 와줄까(너나들이 리커버 에디션),김상현,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791188469468&orderClick=LAV&Kc=
 참 애썼다 그것으로 되었다(10만부 판매 기념 한정판 에디션),정영욱,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791162141885&orderClick=LAV&Kc=
 내가 원하는 것을 나도 모를 때,전승환,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791130627878&orderClick=LAV&Kc=
