공고번호,사진url,접수일자,품종,성별,발견장소,특징
경남-남해-2020-00313,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009240909922.jpg,2020-09-24,믹스견,수컷,경상남도남해군서..,매우온순하고겁이..
경남-거제-2020-01162,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009241409665.jpg,2020-09-24,한국고양이,수컷,하청면사무소근처..,탈진허피스심함
경남-거제-2020-01161,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009241409316.jpg,2020-09-24,한국고양이,수컷,연초고등학교근처,잘안움직임
경남-거제-2020-01160,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009241409716.jpg,2020-09-24,믹스견,암컷,거제면읍내로주택..,초록목줄착용
경남-밀양-2020-01618,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009242109682.jpg,2020-09-24,믹스견,암컷,삼랑진,온순함
경남-밀양-2020-01617,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009242109537.jpg,2020-09-24,믹스견,암컷,하남,온순함
경남-밀양-2020-01616,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009242109779.jpg,2020-09-24,믹스견,암컷,단장,온순함
경남-밀양-2020-01615,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009242109333.jpg,2020-09-24,슈나우져,암컷,가곡,온순함
경남-밀양-2020-01614,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009242109231.jpg,2020-09-24,믹스견,수컷,삼랑진,온순함
경남-밀양-2020-01613,/front/fileMng/imageView.do;jsessionid=L1QFxocL1xN4V0SvTuWAHV95rAtrfSeiWlp5gSKLeJ00aVpdV3TQXb8Dk9kPVHBg.aniwas_servlet_front?f=/files/shelter/2020/07/202009242109705.jpg,2020-09-24,믹스견,수컷,삼랑진,온순함
